comb,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE
swaptions+ferret,5228.0,1.05,0.5484,0.3064,9350.0,1.098,27.439999999999998,1.7920000000000003,7.266,0.0007773999999999999,0.4122,4.172,0.00044879999999999996,3.586,89.61999999999999,1.5299999999999998,2130.0,0.09096000000000001
swaptions+bodytrack,4674.0,1.05,0.6438,0.27640000000000003,10880.0,1.288,32.2,2.3280000000000003,9.998000000000001,0.0009186,0.9776,0.22318,2.0498e-05,4.656000000000001,116.6,0.14318,2114.0,0.04404
swaptions+svm,8722.0,1.05,0.5349999999999999,0.5178,9016.0,1.0699999999999998,26.74,1.2898,10.092,0.0011082000000000002,0.5561999999999999,3.9659999999999997,0.00044600000000000005,2.58,64.5,3.272,2112.0,1.832
swaptions+nn,9656.0,1.05,0.5788,0.5684,9838.0,1.1565999999999999,28.939999999999998,1.3358,9.718,0.0009112,0.6026,3.1762,0.0003254,2.6659999999999995,66.62,3.114,2126.0,1.8479999999999996
swaptions+facedetect,4668.0,1.05,0.5296000000000001,0.27540000000000003,8984.0,1.0580000000000003,26.46,1.9240000000000002,1.738,0.0001938,0.8855999999999999,0.197,2.198e-05,3.8480000000000003,96.25999999999999,0.123,2120.0,0.03354
ferret+bodytrack,5118.0,1.05,0.5002,0.3006,8518.0,1.0,24.999999999999996,1.672,15.020000000000001,0.00176,0.7003999999999999,4.532,0.0005261999999999999,3.34,83.52000000000001,1.7,2126.0,0.13477999999999998
ferret+svm,8048.0,1.05,0.35900000000000004,0.4750000000000001,6136.0,0.7183999999999999,17.96,0.9338000000000001,12.91,0.0020948,0.4176,6.720000000000001,0.0011420000000000002,1.8694000000000002,46.760000000000005,3.9899999999999993,2130.0,1.605
ferret+nn,10352.0,1.05,0.47000000000000003,0.6152,7908.0,0.9398,23.5,0.8795999999999999,11.534,0.001464,0.4462,5.93,0.0008154,1.762,44.0,4.040000000000001,2110.0,1.6346
ferret+facedetect,5102.0,1.05,0.3912000000000001,0.2984,6682.0,0.7822000000000001,19.560000000000002,1.31,7.394,0.0011059999999999998,0.3854,4.473999999999999,0.000672,2.622,65.53999999999999,1.702,2130.0,0.13862
bodytrack+svm,9006.0,1.05,0.4732,0.5359999999999999,7982.0,0.9456,23.68,1.1010000000000002,16.839999999999996,0.002124,0.7886,3.758,0.0004785999999999999,2.2,54.98,3.1380000000000003,2106.0,1.7759999999999998
bodytrack+nn,10674.0,1.05,0.5676,0.6327999999999999,9620.0,1.1352,28.4,1.0774000000000001,18.360000000000003,0.0019,0.8042,3.658,0.0003866000000000001,2.1559999999999997,53.879999999999995,3.142,2122.0,1.6488
bodytrack+facedetect,4782.0,1.05,0.4824,0.2826000000000001,8156.0,0.9643999999999998,24.119999999999997,1.7079999999999997,10.72,0.0013139999999999998,0.962,0.4136,5.078e-05,3.4120000000000004,85.33999999999999,0.27599999999999997,2114.0,0.08388000000000001
svm+nn,10960.0,1.05,0.4412,0.6443999999999999,7518.0,0.8822000000000001,22.060000000000002,0.7968,16.762,0.0023046,0.5314,6.856,0.0011227999999999998,1.592,39.88,5.442,2124.0,2.938
svm+facedetect,8606.0,1.05,0.38439999999999996,0.5114000000000001,6496.0,0.7696,19.240000000000002,0.8991999999999999,10.132,0.0015354,0.6054,3.6759999999999997,0.0005854,1.8,45.019999999999996,3.2079999999999997,2110.0,1.86
nn+facedetect,10908.0,1.05,0.49139999999999995,0.648,8280.0,0.9833999999999999,24.580000000000002,0.8642,11.128,0.0012946,0.6242,3.724,0.00048660000000000006,1.732,43.24,3.3020000000000005,2110.0,1.6780000000000002
swaptions+ferret+bodytrack,7612.0,1.05,0.8312000000000002,0.453,13960.0,1.6620000000000001,41.54,1.842,17.060000000000002,0.00122,0.7322000000000001,4.668,0.0003326,3.688,92.17999999999999,1.768,2100.0,0.14316
swaptions+ferret+svm,11402.0,1.05,0.6234,0.6723999999999999,10656.0,1.246,31.160000000000004,1.1099999999999999,12.684000000000001,0.0012268,0.4678,6.2780000000000005,0.0005948000000000001,2.2199999999999998,55.5,3.9159999999999995,2132.0,1.634
swaptions+ferret+nn,12290.0,1.05,0.7062,0.7230000000000001,11992.0,1.412,35.32000000000001,1.14,13.228,0.0010846000000000002,0.5118,5.95,0.0004963999999999999,2.28,57.000000000000014,3.97,2120.0,1.6560000000000001
swaptions+ferret+facedetect,6816.0,1.05,0.7005999999999999,0.40499999999999997,11780.0,1.402,35.019999999999996,1.73,6.3180000000000005,0.0005364,0.3782,3.8940000000000006,0.0003302,3.4580000000000006,86.44,1.3960000000000001,2104.0,0.09881999999999999
swaptions+bodytrack+svm,11202.0,1.05,0.7406,0.6648,12560.0,1.482,37.06,1.3130000000000002,19.0,0.0015354,0.8305999999999999,3.408,0.0002751,2.6260000000000003,65.66,3.0219999999999994,2116.0,1.6320000000000001
swaptions+bodytrack+nn,12260.0,1.05,0.7774000000000001,0.7266,13160.0,1.5539999999999998,38.839999999999996,1.2608000000000001,15.4,0.0011626000000000002,0.8039999999999999,3.1079999999999997,0.0002326,2.5279999999999996,63.21999999999999,3.0,2110.0,1.6
swaptions+bodytrack+facedetect,8052.0,1.05,0.8533999999999999,0.4696000000000001,14620.0,1.7060000000000002,42.68,1.8519999999999999,12.563999999999998,0.0008466000000000001,0.9353999999999999,0.9911999999999999,6.33e-05,3.7060000000000004,92.66,0.6154,2140.0,0.19046000000000002
swaptions+svm+nn,12092.0,1.05,0.6322000000000001,0.7124,10780.0,1.264,31.6,1.0538,14.738,0.0013592,0.5536,5.965999999999999,0.0005548,2.108,52.7,5.066,2132.0,2.838
swaptions+svm+facedetect,11336.0,1.05,0.6398,0.6741999999999999,10760.0,1.278,31.959999999999997,1.1186000000000003,9.498,0.0009142000000000001,0.6224000000000001,3.3284,0.00031698,2.2380000000000004,55.98,2.998,2100.0,1.636
swaptions+nn+facedetect,12370.0,1.05,0.7222,0.7302000000000001,12340.0,1.444,36.11999999999999,1.1394,10.852,0.0008548,0.6457999999999999,3.4879999999999995,0.000279,2.276,56.92,3.3520000000000003,2134.0,1.69
ferret+bodytrack+svm,11812.0,1.05,0.6048,0.6971999999999999,10322.0,1.21,30.22,1.0264,19.959999999999997,0.00196,0.6746000000000001,6.4239999999999995,0.0006256,2.056,51.4,4.114,2132.0,1.65
ferret+bodytrack+nn,12280.0,1.05,0.6436,0.7283999999999999,10894.0,1.286,32.18,1.0250000000000001,17.759999999999998,0.001626,0.6898000000000001,5.524,0.0005072,2.048,51.21999999999999,3.8340000000000005,2118.0,1.6159999999999997
ferret+bodytrack+facedetect,7294.0,1.05,0.6638,0.4332,11200.0,1.326,33.2,1.534,17.56,0.0015699999999999998,0.7402,4.640000000000001,0.0004122,3.068,76.72,1.83,2100.0,0.182
ferret+svm+nn,11650.0,1.05,0.5112,0.6890000000000001,8690.0,1.0208,25.580000000000002,0.8436,16.3,0.0018614000000000003,0.4566,8.238,0.0009906000000000001,1.684,42.14,5.686,2128.0,2.8240000000000003
ferret+svm+facedetect,10540.0,1.05,0.5204000000000001,0.6228,8798.0,1.041,26.02,0.9342,13.388,0.0015312,0.46440000000000003,6.540000000000001,0.0007551999999999999,1.8680000000000003,46.720000000000006,4.273999999999999,2114.0,1.8
ferret+nn+facedetect,12648.0,1.05,0.5908,0.7455999999999999,10072.0,1.183,29.520000000000003,0.8888000000000001,12.77,0.00125,0.5238,5.642,0.0005758,1.78,44.46,4.118,2138.0,1.684
bodytrack+svm+nn,11714.0,1.05,0.596,0.6901999999999999,10112.0,1.192,29.8,1.0078,21.7,0.002154,0.7485999999999999,6.004,0.0006206,2.0140000000000002,50.36,4.976,2128.0,2.8080000000000003
bodytrack+svm+facedetect,11116.0,1.05,0.6168,0.6556000000000001,10514.0,1.234,30.840000000000003,1.0764,17.339999999999996,0.0016668,0.8019999999999999,3.568,0.000345,2.152,53.8,3.254,2128.0,1.7259999999999998
bodytrack+nn+facedetect,12446.0,1.05,0.6762,0.7374,11492.0,1.3519999999999999,33.82000000000001,1.047,19.48,0.0016879999999999998,0.825,3.4699999999999998,0.0003036,2.0959999999999996,52.339999999999996,3.308,2124.0,1.67
svm+nn+facedetect,11686.0,1.05,0.5227999999999999,0.6922,8870.0,1.046,26.139999999999997,0.8532,15.524000000000001,0.0017264000000000001,0.5818,6.078,0.0007229999999999999,1.706,42.68,5.176,2126.0,2.87
swaptions+ferret+bodytrack+svm,12868.0,1.05,0.8358000000000001,0.7598,14220.0,1.672,41.78,1.252,19.740000000000002,0.0014272,0.699,5.968,0.0004162,2.504,62.620000000000005,3.9019999999999997,2124.0,1.6480000000000004
swaptions+ferret+bodytrack+nn,13310.0,1.05,0.8817999999999999,0.7896000000000001,14940.0,1.7619999999999998,44.12,1.2292,20.880000000000003,0.001404,0.7087999999999999,6.006,0.00039820000000000003,2.4539999999999997,61.4,3.998,2114.0,1.6059999999999999
swaptions+ferret+bodytrack+facedetect,9364.0,1.05,0.9884000000000001,0.5488000000000002,16880.0,1.9739999999999998,49.42,1.802,15.680000000000001,0.0009292,0.7343999999999999,4.148000000000001,0.0002458,3.6019999999999994,90.08,1.5839999999999999,2134.0,0.146
swaptions+ferret+svm+nn,12790.0,1.05,0.733,0.7567999999999999,12420.0,1.464,36.64,1.0811999999999997,17.364,0.0014262,0.47119999999999995,8.186000000000002,0.0006504,2.166,54.160000000000004,5.680000000000001,2118.0,2.84
swaptions+ferret+svm+facedetect,13134.0,1.05,0.7382000000000001,0.7754,12562.0,1.4760000000000002,36.92,1.0754,12.922,0.0010760000000000001,0.48640000000000005,6.359999999999999,0.0005128000000000001,2.15,53.739999999999995,4.008,2122.0,1.574
swaptions+ferret+nn+facedetect,13622.0,1.05,0.788,0.8046,13400.0,1.576,39.4,1.082,12.260000000000002,0.0009134,0.5391999999999999,5.3999999999999995,0.000394,2.1659999999999995,54.1,3.6700000000000004,2130.0,1.5779999999999998
swaptions+bodytrack+svm+nn,13008.0,1.05,0.8442000000000001,0.7726000000000001,14260.0,1.69,42.21999999999999,1.2162000000000002,23.6,0.0016808,0.7939999999999999,5.252,0.00036439999999999997,2.434,60.84000000000001,4.898000000000001,2106.0,2.7399999999999998
swaptions+bodytrack+svm+facedetect,13302.0,1.05,0.8502000000000001,0.7772,14660.0,1.7,42.540000000000006,1.229,17.92,0.001253,0.8099999999999999,3.6879999999999997,0.00025366,2.46,61.54,3.29,2154.0,1.6420000000000001
swaptions+bodytrack+nn+facedetect,13488.0,1.05,0.8712,0.7978,14820.0,1.7420000000000002,43.56,1.2124,17.5,0.0011824,0.8308,3.114,0.000203,2.42,60.56,2.998,2126.0,1.568
swaptions+svm+nn+facedetect,13068.0,1.05,0.7458000000000001,0.776,12580.0,1.4920000000000002,37.3,1.0686,14.193999999999999,0.001163,0.6008,5.244,0.00041359999999999997,2.1380000000000003,53.46,4.973999999999999,2112.0,2.7800000000000002
ferret+bodytrack+svm+nn,12988.0,1.05,0.688,0.7686,11640.0,1.3760000000000001,34.4,0.9858,22.720000000000002,0.001952,0.6566,7.882,0.0006666,1.972,49.28,5.728,2116.0,2.754
ferret+bodytrack+svm+facedetect,12986.0,1.05,0.7268,0.768,12340.0,1.452,36.36,1.0468,21.78,0.0017919999999999998,0.7106,6.359999999999999,0.000513,2.092,52.30000000000001,4.322,2120.0,1.722
ferret+bodytrack+nn+facedetect,13358.0,1.05,0.7542,0.7964,12680.0,1.5079999999999998,37.739999999999995,1.0364,19.459999999999997,0.001532,0.7110000000000001,5.618,0.0004372,2.0700000000000003,51.760000000000005,3.886,2100.0,1.612
ferret+svm+nn+facedetect,13160.0,1.05,0.6178,0.7806,10464.0,1.236,30.9,0.8379999999999999,18.060000000000002,0.0017284000000000002,0.5212,8.398,0.0008054000000000001,1.672,41.86,5.8839999999999995,2114.0,2.798
bodytrack+svm+nn+facedetect,13058.0,1.05,0.7051999999999999,0.7746000000000001,11960.0,1.4080000000000001,35.26,1.0010000000000001,20.740000000000002,0.0017496,0.726,6.139999999999999,0.0005144,2.0000000000000004,49.959999999999994,5.188,2118.0,2.836
swaptions+ferret+bodytrack+svm+nn,13960.0,1.05,0.8385999999999999,0.8300000000000001,14120.0,1.6779999999999997,41.940000000000005,1.0788,24.740000000000002,0.0017839999999999998,0.7362000000000001,6.7620000000000005,0.0004762,2.156,54.0,5.3759999999999994,2104.0,2.616
swaptions+ferret+bodytrack+svm+facedetect,14280.0,1.05,0.8658000000000001,0.8423999999999999,14680.0,1.7299999999999998,43.28000000000001,1.081,21.839999999999996,0.001508,0.7268000000000001,5.984,0.0004046,2.1599999999999997,54.02,4.176,2120.0,1.69
swaptions+ferret+bodytrack+nn+facedetect,13360.0,1.05,0.9566000000000001,0.7915999999999999,16200.0,1.9140000000000001,47.88,1.2551999999999999,18.34,0.00114,0.7242,5.0,0.0003098,2.506,62.68000000000001,3.5699999999999994,2114.0,1.3965999999999998
swaptions+ferret+svm+nn+facedetect,12840.0,1.05,0.8130000000000001,0.7618,13680.0,1.626,40.64,1.1122,12.572,0.0009314,0.43360000000000004,7.072,0.000513,2.22,55.56,4.970000000000001,2100.0,2.6640000000000006
swaptions+bodytrack+svm+nn+facedetect,14400.0,1.05,0.877,0.8474,14960.0,1.7559999999999998,43.9,1.0968,18.580000000000002,0.0012692,0.7754,4.476000000000001,0.0002974,2.194,54.86,4.824,2128.0,2.6980000000000004
ferret+bodytrack+svm+nn+facedetect,13280.0,1.05,0.8034000000000001,0.7772,13720.0,1.6079999999999999,40.18,1.069,22.02,0.001608,0.6874,6.88,0.0005020000000000001,2.134,53.339999999999996,5.116,2132.0,2.3920000000000003
swaptions+ferret+bodytrack+svm+nn+facedetect,15600.0,1.05,0.8742000000000001,0.9168,14860.0,1.748,43.739999999999995,0.9758000000000001,27.0,0.001822,0.7522,6.662000000000001,0.00044319999999999993,1.954,48.86,5.7219999999999995,2126.0,2.806
